Fecha,año,mes,Open,High,Low,AdjClose,ROC,Activos,Ocupados,Parados,Tasa Act,Tasa Paro,Tasa Paro ROC
2013-03-01,2013,3,8220.5,8670.400391,7797.200195,7919.992188,0.9622979518711106,23308.4,17030.2,6278.2,60.18,26.94,1.0146892655367232
2013-04-01,2013,4,7917.600098,8524.200195,7716.100098,8418.991211,1.063004989292295,23274.9,17073.666666666668,6201.233333333334,60.12,26.64666666666667,0.9891116060381094
2013-05-01,2013,5,8393.900391,8669.200195,8216.5,8320.59082,0.9883120924426871,23241.4,17117.13333333333,6124.266666666666,60.06,26.35333333333333,0.9889917438078558
2013-06-01,2013,6,8266.599609,8430.0,7508.399902,7762.692383,0.9329496607790166,23207.9,17160.6,6047.3,60.0,26.06,0.9888692132557552
2013-07-01,2013,7,7817.0,8480.099609,7612.799805,8433.391602,1.0864003345628903,23196.4,17183.733333333334,6012.666666666667,60.013333333333335,25.923333333333332,0.9947556919928371
2013-08-01,2013,8,8466.299805,8828.099609,8275.900391,8290.491211,0.9830554066804974,23184.9,17206.866666666665,5978.033333333333,60.026666666666664,25.786666666666665,0.9947280442329948
2013-09-01,2013,9,8370.200195,9299.099609,8331.099609,9186.089844,1.1080272097522637,23173.4,17230.0,5943.4,60.04,25.65,0.9947001034126164
2013-10-01,2013,10,9177.599609,10063.900391,9173.400391,9907.890625,1.0785754105672556,23139.233333333334,17198.4,5940.8,59.98,25.676666666666666,1.0010396361273555
2013-11-01,2013,11,9906.599609,10025.900391,9467.0,9837.589844,0.9929045663036878,23105.06666666667,17166.8,5938.2,59.92,25.703333333333333,1.001038556406595
2013-12-01,2013,12,9838.200195,9949.799805,9232.099609,9916.69043,1.00804064687127,23070.9,17135.2,5935.6,59.86,25.73,1.0010374789262093
2014-01-01,2014,1,9923.599609,10552.700195,9716.5,9920.19043,1.0003529403307185,23008.56666666667,17073.666666666668,5934.833333333334,59.72666666666667,25.796666666666667,1.0025910091980827
2014-02-01,2014,2,9911.5,10269.0,9654.799805,10114.19043,1.019556076203266,22946.233333333334,17012.13333333333,5934.066666666667,59.593333333333334,25.863333333333333,1.0025843132187622
2014-03-01,2014,3,9951.599609,10420.599609,9703.099609,10340.489258,1.0223743886934111,22883.9,16950.6,5933.3,59.46,25.93,1.0025776517592473
2014-04-01,2014,4,10368.099609,10705.099609,9984.299805,10458.989258,1.0114598059185957,22914.56666666667,17084.733333333334,5829.833333333333,59.516666666666666,25.44333333333333,0.9812315207610232
2014-05-01,2014,5,10453.599609,10803.400391,10282.400391,10798.689453,1.0324792565151706,22945.233333333334,17218.866666666665,5726.366666666667,59.57333333333334,24.956666666666667,0.9808725271845933
2014-06-01,2014,6,10819.0,11249.400391,10667.200195,10923.489258,1.011556939899343,22975.9,17353.0,5622.9,59.63,24.47,0.9804995325230399
2014-07-01,2014,7,10954.5,11100.200195,10423.599609,10707.189453,0.9801986526565593,22961.166666666668,17403.333333333332,5557.833333333333,59.59666666666667,24.203333333333333,0.9891023021386732
2014-08-01,2014,8,10682.799805,10883.799805,9946.900391,10728.789063,1.0020172996933334,22946.433333333334,17453.666666666668,5492.766666666666,59.56333333333333,23.936666666666667,0.9889822338520865
